"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"BUL85" "2007" "24" "929" "2657" "329881" "2219080" "5" "22/08/2007" "18.15.00" "23/08/2007" "08.00.00" "7" "12" "FB" "6 -11,9 m [Protocole CEN]" "Perca fluviatilis" "75"
"BUL85" "2007" "24" "929" "2657" "329881" "2219080" "5" "22/08/2007" "18.15.00" "23/08/2007" "08.00.00" "7" "12" "FB" "6 -11,9 m [Protocole CEN]" "Gymnocephalus cernua" "95"
"BUL85" "2007" "24" "929" "2657" "329881" "2219080" "5" "22/08/2007" "18.15.00" "23/08/2007" "08.00.00" "7" "12" "FB" "6 -11,9 m [Protocole CEN]" "Abramis brama" "355"
"BUL85" "2007" "24" "930" "2658" "331255" "2219310" "5" "22/08/2007" "18.20.00" "23/08/2007" "07.15.00" "2" "3" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "115"
"BUL85" "2007" "24" "930" "2658" "331255" "2219310" "5" "22/08/2007" "18.20.00" "23/08/2007" "07.15.00" "2" "3" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "117"
"BUL85" "2007" "24" "930" "2658" "331255" "2219310" "5" "22/08/2007" "18.20.00" "23/08/2007" "07.15.00" "2" "3" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "127"
"BUL85" "2007" "24" "930" "2658" "331255" "2219310" "5" "22/08/2007" "18.20.00" "23/08/2007" "07.15.00" "2" "3" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "127"
"BUL85" "2007" "24" "930" "2658" "331255" "2219310" "5" "22/08/2007" "18.20.00" "23/08/2007" "07.15.00" "2" "3" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "147"
"BUL85" "2007" "24" "930" "2658" "331255" "2219310" "5" "22/08/2007" "18.20.00" "23/08/2007" "07.15.00" "2" "3" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "185"
"BUL85" "2007" "24" "930" "2658" "331255" "2219310" "5" "22/08/2007" "18.20.00" "23/08/2007" "07.15.00" "2" "3" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "75"
"BUL85" "2007" "24" "930" "2658" "331255" "2219310" "5" "22/08/2007" "18.20.00" "23/08/2007" "07.15.00" "2" "3" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "84"
"BUL85" "2007" "24" "930" "2658" "331255" "2219310" "5" "22/08/2007" "18.20.00" "23/08/2007" "07.15.00" "2" "3" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "85"
"BUL85" "2007" "24" "930" "2658" "331255" "2219310" "5" "22/08/2007" "18.20.00" "23/08/2007" "07.15.00" "2" "3" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "87"
