"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "107"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "87"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "105"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "107"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "108"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "98"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "104"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "94"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "98"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "100"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "105"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "100"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "97"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "107"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "105"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "108"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "111"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "96"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "103"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "105"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "110"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "96"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "95"
"GOU82" "2011" "289" "15220" "241249" "588505" "6328224" "26" "2011.08.08" "18.42.00" "2011.08.09" "06.20.00" "2.4" "3" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "103"
