"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "162"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "161"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "169"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "159"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "163"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "160"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "159"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "166"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "168"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "147"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "161"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "158"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "149"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "155"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "166"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "167"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "159"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "155"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "152"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "153"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "135"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "140"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "153"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "137"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "158"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "150"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "142"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "158"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "171"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "283"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "280"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Chelon ramada" "539"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Chelon ramada" "543"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "406"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Chelon ramada" "457"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "102"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "97"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "97"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Sander lucioperca" "102"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "87"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "151"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "100"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "97"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "86"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "99"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "106"
"LEO40" "2015" "447" "23992" "254155" "353019" "6320215" "26" "13/10/2015" "18.42.00" "14/10/2015" "08.20.00" "1.8" "1.9" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "101"
"LEO40" "2015" "447" "23993" "254156" "352915" "6319717" "26" "13/10/2015" "18.50.00" "14/10/2015" "08.29.00" "1.6" "1.7" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "141"
"LEO40" "2015" "447" "23993" "254156" "352915" "6319717" "26" "13/10/2015" "18.50.00" "14/10/2015" "08.29.00" "1.6" "1.7" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "146"
"LEO40" "2015" "447" "23993" "254156" "352915" "6319717" "26" "13/10/2015" "18.50.00" "14/10/2015" "08.29.00" "1.6" "1.7" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "141"
"LEO40" "2015" "447" "23993" "254156" "352915" "6319717" "26" "13/10/2015" "18.50.00" "14/10/2015" "08.29.00" "1.6" "1.7" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "143"
"LEO40" "2015" "447" "23993" "254156" "352915" "6319717" "26" "13/10/2015" "18.50.00" "14/10/2015" "08.29.00" "1.6" "1.7" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "142"
"LEO40" "2015" "447" "23993" "254156" "352915" "6319717" "26" "13/10/2015" "18.50.00" "14/10/2015" "08.29.00" "1.6" "1.7" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "150"
"LEO40" "2015" "447" "23993" "254156" "352915" "6319717" "26" "13/10/2015" "18.50.00" "14/10/2015" "08.29.00" "1.6" "1.7" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "148"
"LEO40" "2015" "447" "23993" "254156" "352915" "6319717" "26" "13/10/2015" "18.50.00" "14/10/2015" "08.29.00" "1.6" "1.7" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "157"
"LEO40" "2015" "447" "23993" "254156" "352915" "6319717" "26" "13/10/2015" "18.50.00" "14/10/2015" "08.29.00" "1.6" "1.7" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "156"
