"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "412"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "345"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "325"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "370"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "c(179, 178, 177, 177, 179, 179)"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "c(165, 164, 162, 163, 166, 162, 161, 163, 164, 163, 161)"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Rutilus rutilus" "138"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "270"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "162"
"ILA39" "2016" "442" "23451" "253878" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Rutilus rutilus" "112"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "317"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "270"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "365"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "344"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "340"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "c(172, 174, 178, 177, 176, 172, 174, 171)"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "c(163, 163, 160, 162, 161, 165, 161, 159, 167, 164, 160, 165)"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "285"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "160"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "195"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "340"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "365"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "355"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "340"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "320"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "322"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "316"
"ILA39" "2016" "442" "23452" "253879" "5.9" "46.63" "31" "2016.10.03" "17.40.00" "2016.10.04" "08.20.00" "28.3" "29.9" "FP" "6 - 11,9 m Pelagique" "Coregonus lavaretus" "329"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "2016.10.03" "17.45.00" "2016.10.04" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "245"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "2016.10.03" "17.45.00" "2016.10.04" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Coregonus lavaretus" "c(NA, NA, NA, NA)"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "2016.10.03" "17.45.00" "2016.10.04" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "125"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "2016.10.03" "17.45.00" "2016.10.04" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "135"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "2016.10.03" "17.45.00" "2016.10.04" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "145"
"ILA39" "2016" "442" "23453" "253880" "5.9" "46.63" "31" "2016.10.03" "17.45.00" "2016.10.04" "08.12.00" "28.3" "29.9" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "166"
