"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "strate" "species" "fish"
"SPA87" "2012" "322" "17654" "243695" "566430" "6551157" "15579" "65100" "15580" "27360" "13.6" "13.8" "12 - 19,9 m [Protocole CEN]" "Perca fluviatilis" "140"
"SPA87" "2012" "322" "17654" "243695" "566430" "6551157" "15579" "65100" "15580" "27360" "13.6" "13.8" "12 - 19,9 m [Protocole CEN]" "Perca fluviatilis" "124"
"SPA87" "2012" "322" "17654" "243695" "566430" "6551157" "15579" "65100" "15580" "27360" "13.6" "13.8" "12 - 19,9 m [Protocole CEN]" "Perca fluviatilis" "127"
"SPA87" "2012" "322" "17654" "243695" "566430" "6551157" "15579" "65100" "15580" "27360" "13.6" "13.8" "12 - 19,9 m [Protocole CEN]" "Perca fluviatilis" "120"
"SPA87" "2012" "322" "17654" "243695" "566430" "6551157" "15579" "65100" "15580" "27360" "13.6" "13.8" "12 - 19,9 m [Protocole CEN]" "Perca fluviatilis" "118"
"SPA87" "2012" "322" "17654" "243695" "566430" "6551157" "15579" "65100" "15580" "27360" "13.6" "13.8" "12 - 19,9 m [Protocole CEN]" "Perca fluviatilis" "122"
"SPA87" "2012" "322" "17655" "243706" "566469" "6551336" "15579" "65280" "15580" "27720" "3.8" "5.2" "3 - 5,9 m [Protocole CEN]" "Abramis brama" "195"
"SPA87" "2012" "322" "17655" "243706" "566469" "6551336" "15579" "65280" "15580" "27720" "3.8" "5.2" "3 - 5,9 m [Protocole CEN]" "Sander lucioperca" "210"
"SPA87" "2012" "322" "17655" "243706" "566469" "6551336" "15579" "65280" "15580" "27720" "3.8" "5.2" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "c(135, 131, 137, 129, 137, 133, 133, 136)"
"SPA87" "2012" "322" "17655" "243706" "566469" "6551336" "15579" "65280" "15580" "27720" "3.8" "5.2" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "141"
"SPA87" "2012" "322" "17655" "243706" "566469" "6551336" "15579" "65280" "15580" "27720" "3.8" "5.2" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "218"
"SPA87" "2012" "322" "17655" "243706" "566469" "6551336" "15579" "65280" "15580" "27720" "3.8" "5.2" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "201"
"SPA87" "2012" "322" "17655" "243706" "566469" "6551336" "15579" "65280" "15580" "27720" "3.8" "5.2" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "106"
"SPA87" "2012" "322" "17655" "243706" "566469" "6551336" "15579" "65280" "15580" "27720" "3.8" "5.2" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "100"
"SPA87" "2012" "322" "17655" "243706" "566469" "6551336" "15579" "65280" "15580" "27720" "3.8" "5.2" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "108"
"SPA87" "2012" "322" "17655" "243706" "566469" "6551336" "15579" "65280" "15580" "27720" "3.8" "5.2" "3 - 5,9 m [Protocole CEN]" "Gymnocephalus cernua" "91"
"SPA87" "2012" "322" "17655" "243706" "566469" "6551336" "15579" "65280" "15580" "27720" "3.8" "5.2" "3 - 5,9 m [Protocole CEN]" "Gymnocephalus cernua" "90"
"SPA87" "2012" "322" "17655" "243706" "566469" "6551336" "15579" "65280" "15580" "27720" "3.8" "5.2" "3 - 5,9 m [Protocole CEN]" "Gymnocephalus cernua" "101"
"SPA87" "2012" "322" "17655" "243706" "566469" "6551336" "15579" "65280" "15580" "27720" "3.8" "5.2" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "67"
"SPA87" "2012" "322" "17655" "243706" "566469" "6551336" "15579" "65280" "15580" "27720" "3.8" "5.2" "3 - 5,9 m [Protocole CEN]" "Rutilus rutilus" "70"
"SPA87" "2012" "322" "17655" "243706" "566469" "6551336" "15579" "65280" "15580" "27720" "3.8" "5.2" "3 - 5,9 m [Protocole CEN]" "Perca fluviatilis" "71"
"SPA87" "2012" "322" "17655" "243706" "566469" "6551336" "15579" "65280" "15580" "27720" "3.8" "5.2" "3 - 5,9 m [Protocole CEN]" "Ameiurus melas" "152"
