"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"MUN67" "2009" "146" "6337" "9867" "1024966" "2450168" "NA" "2009.09.09" "20.15.00" "2009.09.10" "08.15.00" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Abramis brama" "65"
"MUN67" "2009" "146" "6337" "9867" "1024966" "2450168" "NA" "2009.09.09" "20.15.00" "2009.09.10" "08.15.00" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Esox lucius" "275"
"MUN67" "2009" "146" "6337" "9867" "1024966" "2450168" "NA" "2009.09.09" "20.15.00" "2009.09.10" "08.15.00" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Esox lucius" "286"
"MUN67" "2009" "146" "6337" "9867" "1024966" "2450168" "NA" "2009.09.09" "20.15.00" "2009.09.10" "08.15.00" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Esox lucius" "352"
"MUN67" "2009" "146" "6337" "9867" "1024966" "2450168" "NA" "2009.09.09" "20.15.00" "2009.09.10" "08.15.00" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Esox lucius" "205"
"MUN67" "2009" "146" "6337" "9867" "1024966" "2450168" "NA" "2009.09.09" "20.15.00" "2009.09.10" "08.15.00" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "70"
"MUN67" "2009" "146" "6337" "9867" "1024966" "2450168" "NA" "2009.09.09" "20.15.00" "2009.09.10" "08.15.00" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "70"
"MUN67" "2009" "146" "6337" "9867" "1024966" "2450168" "NA" "2009.09.09" "20.15.00" "2009.09.10" "08.15.00" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "72"
"MUN67" "2009" "146" "6337" "9867" "1024966" "2450168" "NA" "2009.09.09" "20.15.00" "2009.09.10" "08.15.00" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "330"
"MUN67" "2009" "146" "6337" "9867" "1024966" "2450168" "NA" "2009.09.09" "20.15.00" "2009.09.10" "08.15.00" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "190"
"MUN67" "2009" "146" "6337" "9867" "1024966" "2450168" "NA" "2009.09.09" "20.15.00" "2009.09.10" "08.15.00" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "162"
"MUN67" "2009" "146" "6337" "9867" "1024966" "2450168" "NA" "2009.09.09" "20.15.00" "2009.09.10" "08.15.00" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "85"
"MUN67" "2009" "146" "6337" "9867" "1024966" "2450168" "NA" "2009.09.09" "20.15.00" "2009.09.10" "08.15.00" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "75"
"MUN67" "2009" "146" "6337" "9867" "1024966" "2450168" "NA" "2009.09.09" "20.15.00" "2009.09.10" "08.15.00" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "89"
"MUN67" "2009" "146" "6337" "9867" "1024966" "2450168" "NA" "2009.09.09" "20.15.00" "2009.09.10" "08.15.00" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "92"
"MUN67" "2009" "146" "6337" "9867" "1024966" "2450168" "NA" "2009.09.09" "20.15.00" "2009.09.10" "08.15.00" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "82"
"MUN67" "2009" "146" "6337" "9867" "1024966" "2450168" "NA" "2009.09.09" "20.15.00" "2009.09.10" "08.15.00" "1.5" "2" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "70"
