"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "cd_engin_peche" "strate" "species" "fish"
"SET58" "2012" "255" "18121" "244104" "4.05833333" "47.19578333" "31" "2012.09.10" "18.10.00" "2012.09.11" "08.35.00" "13" "15" "FP" "0 - 5,9 m Pelagique" "Perca fluviatilis" "270"
"SET58" "2012" "255" "18121" "244104" "4.05833333" "47.19578333" "31" "2012.09.10" "18.10.00" "2012.09.11" "08.35.00" "13" "15" "FP" "0 - 5,9 m Pelagique" "Perca fluviatilis" "316"
"SET58" "2012" "255" "18121" "244104" "4.05833333" "47.19578333" "31" "2012.09.10" "18.10.00" "2012.09.11" "08.35.00" "13" "15" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "155"
"SET58" "2012" "255" "18121" "244104" "4.05833333" "47.19578333" "31" "2012.09.10" "18.10.00" "2012.09.11" "08.35.00" "13" "15" "FP" "0 - 5,9 m Pelagique" "Perca fluviatilis" "c(NA, NA, NA, NA)"
"SET58" "2012" "255" "18121" "244104" "4.05833333" "47.19578333" "31" "2012.09.10" "18.10.00" "2012.09.11" "08.35.00" "13" "15" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "70"
"SET58" "2012" "255" "18121" "244104" "4.05833333" "47.19578333" "31" "2012.09.10" "18.10.00" "2012.09.11" "08.35.00" "13" "15" "FP" "0 - 5,9 m Pelagique" "Rutilus rutilus" "188"
"SET58" "2012" "255" "18121" "244104" "4.05833333" "47.19578333" "31" "2012.09.10" "18.10.00" "2012.09.11" "08.35.00" "13" "15" "FP" "0 - 5,9 m Pelagique" "Scardinius erythrophthalmus" "210"
"SET58" "2012" "255" "18122" "244105" "4.05563333" "47.17725" "31" "2012.09.10" "18.30.00" "2012.09.11" "09.43.00" "1.3" "1.6" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "200"
"SET58" "2012" "255" "18122" "244105" "4.05563333" "47.17725" "31" "2012.09.10" "18.30.00" "2012.09.11" "09.43.00" "1.3" "1.6" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "179"
"SET58" "2012" "255" "18122" "244105" "4.05563333" "47.17725" "31" "2012.09.10" "18.30.00" "2012.09.11" "09.43.00" "1.3" "1.6" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "174"
"SET58" "2012" "255" "18122" "244105" "4.05563333" "47.17725" "31" "2012.09.10" "18.30.00" "2012.09.11" "09.43.00" "1.3" "1.6" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "166"
"SET58" "2012" "255" "18122" "244105" "4.05563333" "47.17725" "31" "2012.09.10" "18.30.00" "2012.09.11" "09.43.00" "1.3" "1.6" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "146"
"SET58" "2012" "255" "18122" "244105" "4.05563333" "47.17725" "31" "2012.09.10" "18.30.00" "2012.09.11" "09.43.00" "1.3" "1.6" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "161"
"SET58" "2012" "255" "18122" "244105" "4.05563333" "47.17725" "31" "2012.09.10" "18.30.00" "2012.09.11" "09.43.00" "1.3" "1.6" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "175"
"SET58" "2012" "255" "18122" "244105" "4.05563333" "47.17725" "31" "2012.09.10" "18.30.00" "2012.09.11" "09.43.00" "1.3" "1.6" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "166"
"SET58" "2012" "255" "18122" "244105" "4.05563333" "47.17725" "31" "2012.09.10" "18.30.00" "2012.09.11" "09.43.00" "1.3" "1.6" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "131"
"SET58" "2012" "255" "18122" "244105" "4.05563333" "47.17725" "31" "2012.09.10" "18.30.00" "2012.09.11" "09.43.00" "1.3" "1.6" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "55"
"SET58" "2012" "255" "18122" "244105" "4.05563333" "47.17725" "31" "2012.09.10" "18.30.00" "2012.09.11" "09.43.00" "1.3" "1.6" "FB" "< 3 m [Protocole CEN]" "Squalius cephalus" "490"
"SET58" "2012" "255" "18122" "244105" "4.05563333" "47.17725" "31" "2012.09.10" "18.30.00" "2012.09.11" "09.43.00" "1.3" "1.6" "FB" "< 3 m [Protocole CEN]" "Perca fluviatilis" "c(NA, NA, NA)"
"SET58" "2012" "255" "18122" "244105" "4.05563333" "47.17725" "31" "2012.09.10" "18.30.00" "2012.09.11" "09.43.00" "1.3" "1.6" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "c(77, 77, 78, 78, 77, 78, 79, 77, 77, 78, 77, 77, 78, 77, 77, 77, 77, 76, 78, 78, 78)"
"SET58" "2012" "255" "18122" "244105" "4.05563333" "47.17725" "31" "2012.09.10" "18.30.00" "2012.09.11" "09.43.00" "1.3" "1.6" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "125"
"SET58" "2012" "255" "18122" "244105" "4.05563333" "47.17725" "31" "2012.09.10" "18.30.00" "2012.09.11" "09.43.00" "1.3" "1.6" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "100"
"SET58" "2012" "255" "18122" "244105" "4.05563333" "47.17725" "31" "2012.09.10" "18.30.00" "2012.09.11" "09.43.00" "1.3" "1.6" "FB" "< 3 m [Protocole CEN]" "Rutilus rutilus" "126"
"SET58" "2012" "255" "18122" "244105" "4.05563333" "47.17725" "31" "2012.09.10" "18.30.00" "2012.09.11" "09.43.00" "1.3" "1.6" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "141"
"SET58" "2012" "255" "18122" "244105" "4.05563333" "47.17725" "31" "2012.09.10" "18.30.00" "2012.09.11" "09.43.00" "1.3" "1.6" "FB" "< 3 m [Protocole CEN]" "Gymnocephalus cernua" "125"
