"code_lac" "camp_annee" "id_campagne" "id_prelev_poisson" "id_point_prelev" "coord_x" "coord_y" "cd_proj" "date_pose" "heure_pose" "date_releve" "heure_releve" "prof_min_point_pose" "prof_max_point_pose" "strate" "species" "fish"
"AMA10" "2017" "480" "25078" "256884" "4.52294" "48.34058" "31" "2017.09.25" "18.00.00" "2017.09.26" "08.50.00" "0.9" "2.4" "< 3 m [Protocole CEN]" "Scardinius erythrophthalmus" "111"
"AMA10" "2017" "480" "25078" "256884" "4.52294" "48.34058" "31" "2017.09.25" "18.00.00" "2017.09.26" "08.50.00" "0.9" "2.4" "< 3 m [Protocole CEN]" "Esox lucius" "197"
"AMA10" "2017" "480" "25078" "256884" "4.52294" "48.34058" "31" "2017.09.25" "18.00.00" "2017.09.26" "08.50.00" "0.9" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "97"
"AMA10" "2017" "480" "25078" "256884" "4.52294" "48.34058" "31" "2017.09.25" "18.00.00" "2017.09.26" "08.50.00" "0.9" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "112"
"AMA10" "2017" "480" "25078" "256884" "4.52294" "48.34058" "31" "2017.09.25" "18.00.00" "2017.09.26" "08.50.00" "0.9" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "103"
"AMA10" "2017" "480" "25078" "256884" "4.52294" "48.34058" "31" "2017.09.25" "18.00.00" "2017.09.26" "08.50.00" "0.9" "2.4" "< 3 m [Protocole CEN]" "Perca fluviatilis" "97"
"AMA10" "2017" "480" "25078" "256884" "4.52294" "48.34058" "31" "2017.09.25" "18.00.00" "2017.09.26" "08.50.00" "0.9" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "278"
"AMA10" "2017" "480" "25078" "256884" "4.52294" "48.34058" "31" "2017.09.25" "18.00.00" "2017.09.26" "08.50.00" "0.9" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "43"
"AMA10" "2017" "480" "25078" "256884" "4.52294" "48.34058" "31" "2017.09.25" "18.00.00" "2017.09.26" "08.50.00" "0.9" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "48"
"AMA10" "2017" "480" "25078" "256884" "4.52294" "48.34058" "31" "2017.09.25" "18.00.00" "2017.09.26" "08.50.00" "0.9" "2.4" "< 3 m [Protocole CEN]" "Rutilus rutilus" "203"
